,name,url,Avg_Rate,Location,Price,Quality,Service,Space
837,Buffet Rubik 99K,/ho-chi-minh/zone-51-fusion-food,8.308,8.5,8.4,7.9,8.2,8.5
838,Bukchon Korea Restaurant - Vinhomes Central Park,/ho-chi-minh/bukchon-korea-restaurant-vinhomes-central-park,6.5600000000000005,6.8,5.2,7.0,6.8,7.0
839,Nhà Hàng Vườn Phố Tân Sơn Nhất,/ho-chi-minh/vuon-pho,6.946,7.6,6.4,6.5,6.9,7.3
840,Đặc Sản Trâu Nướng,/ho-chi-minh/nha-hang-dac-san-trau-nuong,7.844,6.9,7.9,8.2,8.4,7.8
841,Basta Hiro - Pasta & Pizza - Vincom Đồng Khởi,/ho-chi-minh/basta-hiro-pasta-pizza-vincom-dong-khoi,7.314,7.7,6.7,7.7,7.0,7.6
842,Znap - Nhà Hàng Món Thái,/ho-chi-minh/znap-nha-hang-mon-thai,7.92,8.1,7.9,7.6,7.8,8.2
843,Sushi Kei - Nhà Hàng Nhật Bản - Vạn Hạnh Mall,/ho-chi-minh/sushi-kei-nha-hang-nhat-ban-van-hanh-mall,6.7940000000000005,7.6,6.0,6.7,6.5,7.1
844,Chú Tèo - Quán Ăn Gia Đình,/ho-chi-minh/chu-teo-quan-an-gia-dinh,8.96,9.2,8.6,8.6,8.8,9.6
845,GoGi House - Quán Thịt Nướng Hàn Quốc - Aeon Mall Bình Tân,/ho-chi-minh/gogi-house-aeon-mall-binh-tan-quan-thit-nuong-han-quoc,6.7059999999999995,7.0,6.5,7.1,6.2,6.8
846,7 Kỳ Quan - Dimsum & Món Hoa,/ho-chi-minh/7-ky-quan-nha-hang-cafe,7.266,7.4,7.0,7.3,6.6,8.1
847,Bloom Saigon Restaurant - Hoàng Sa,/ho-chi-minh/bloom-saigon-restaurant-hoang-sa,8.032,7.0,7.5,8.5,8.4,8.7
848,Bình An Village,/ho-chi-minh/binh-an-village,4.3,5.5,3.0,3.0,4.5,5.5
849,Spice World Hotpot,/ho-chi-minh/spice-world-hotpot,7.246,7.5,6.2,7.4,7.6,7.5
850,Tân Huê Viên - Nhà Hàng Gia Đình,/ho-chi-minh/tan-hue-vien-nha-hang-gia-dinh,7.2,8.0,7.0,8.0,8.0,5.0
851,Chảo Restaurant - Bánh Mì Chảo,/ho-chi-minh/chao-restaurant,7.398,7.3,7.2,7.6,7.4,7.5
852,Yazawa Saigon - Japanese BBQ,/ho-chi-minh/yazawa-saigon-japanese-bbq,8.4,8.0,8.0,9.0,9.0,8.0
853,Baoz Dimsum Restaurant - The Garden Mall,/ho-chi-minh/baoz-dimsum-restaurant-the-garden-mall,6.668,7.0,6.6,6.9,6.1,6.6
854,Manwah Taiwanese Hotpot - Gigamall,/ho-chi-minh/manwah-taiwanese-hotpot-giga-mall,7.742,7.7,7.2,8.0,7.8,8.1
855,Pizza Hut - Lotte Mart Nam Sài Gòn,/ho-chi-minh/pizza-hut-lotte-mart-nam-sai-gon,7.418,7.6,6.9,7.5,7.5,7.6
856,Sushi Truhobakunhu,/ho-chi-minh/sushi-truhobakunhu-ba-dinh,6.998,6.4,7.1,7.4,7.3,6.7
857,Don Chicken - Nhà Hàng Gà Nướng Hàn Quốc - Sư Vạn Hạnh,/ho-chi-minh/don-chicken-chicken-pub-su-van-hanh,6.964,7.4,6.4,7.3,7.0,6.8
858,Domino's Pizza - Dương Bá Trạc,/ho-chi-minh/domino-s-pizza-duong-ba-trac,7.5440000000000005,7.6,7.4,7.5,7.7,7.4
859,Buffet Cafe Saigon - Eastin Grand Hotel Saigon,/ho-chi-minh/buffet-cafe-saigon-eastin-grand-hotel-saigon,7.714,7.7,7.3,7.9,7.8,7.8
860,Ebisu - Udon & Lẩu Nhật - AEON Mall Tân Phú,/ho-chi-minh/ebisu-udon-lau-nhat-aeon-mall,6.562,7.4,6.3,6.4,5.9,6.9
861,Chị Hoa - Vietnamese Cuisine - Lê Thánh Tôn,/ho-chi-minh/chi-hoa-vietnamese-cuisine,7.41,7.8,7.0,7.4,7.5,7.4
862,OLiu Đỏ - Món Âu Món Việt - Hoàng Diệu,/ho-chi-minh/oliu-do-mon-au-dat-viet-hoang-dieu,6.69,7.0,6.6,6.8,6.4,6.7
863,Vịt Quay Như Ngọc,/ho-chi-minh/vit-quay-nhu-ngoc,8.0,8.0,8.0,8.0,8.0,8.0
864,Pizza Hut - Trần Não,/ho-chi-minh/pizza-hut-tran-nao,6.98,7.9,6.9,6.0,6.8,7.3
865,Golden Jade Restaurant - SC VivoCity,/ho-chi-minh/golden-jade-restaurant-sc-vivo-city,7.246,7.6,6.9,7.8,6.7,7.2
866,Sorae Restaurant - Lounge,/ho-chi-minh/nha-hang-sorae-sushi-sake-lounge,8.162,8.7,6.9,8.2,8.2,8.8
867,Beefsteak TiTi - Nguyễn Thị Minh Khai,/ho-chi-minh/beefsteak-titi-nguyen-thi-minh-khai,7.708,7.7,7.9,7.9,7.5,7.5
868,Oishii Hà Nội - Món Ngon Hà Nội,/ho-chi-minh/oishii-ha-noi-mon-ngon-ha-noi,8.256,8.6,7.9,8.6,8.1,8.1
869,Sukiya - Cơm Bò Hầm & Mì Ramen - Crescent Mall,/ho-chi-minh/sukiya-com-bo-ham-mi-ramen-crescent-mall,7.178,7.3,7.2,7.1,7.0,7.4
870,Nhà Hàng Chay Phương Mai,/ho-chi-minh/nha-hang-chay-phuong-mai,7.938,8.1,7.6,8.0,7.6,8.4
871,Long Monaco - Vincom Center,/ho-chi-minh/long-monaco-vincom,6.708,7.0,6.6,6.8,6.5,6.6
872,Món Huế - Thảo Điền,/ho-chi-minh/mon-hue-thao-dien,6.0,7.0,5.0,5.0,5.5,7.5
873,Lẩu Tôm Càng Cajun,/ho-chi-minh/lau-tom-cang-cajun,6.26,6.9,6.2,6.0,5.7,6.5
874,Hotpot Story - Nguyễn Văn Quá,/ho-chi-minh/hotpot-story-nguyen-van-qua,8.0,8.0,8.0,8.0,8.0,8.0
875,East West Brewing Co.,/ho-chi-minh/east-west-brewing-co,7.644,8.0,6.8,7.6,7.6,8.3
876,Anchor Wine Boutique & Gastro Pub,/ho-chi-minh/anchor-wine-boutique-gastro-pub,9.1,9.0,8.5,10.0,8.0,10.0
877,Cơm Tấm Thuận Kiều - Đặng Đức Thuật,/ho-chi-minh/com-tam-thuan-kieu-dang-duc-thuat,7.134,7.6,6.0,6.8,8.0,7.3
878,Nét Việt Xưa - Restaurant & Coffee,/ho-chi-minh/net-viet-xua-restaurant-coffee,9.0,9.5,7.0,9.5,9.5,9.5
879,Rooftop Garden - Rex Hotel,/ho-chi-minh/rooftop-garden-rex-hotel,7.444,8.4,6.2,7.4,7.1,8.2
880,Syukaito Soba - Mì Nhật,/ho-chi-minh/syukaito-soba-mi-nhat,7.532,7.7,6.3,8.3,7.3,8.0
881,Hutong - Hotpot Paradise - Lê Quý Đôn,/ho-chi-minh/hutong-hotpot-paradise,7.502,8.0,6.5,7.5,7.5,8.1
882,Crystal Jade Kitchen - Vạn Hạnh Mall - Nhà Hàng Quảng Đông,/ho-chi-minh/crystal-jade-kitchen-van-hanh-mall-nha-hang-quang-dong,7.664,7.8,7.3,7.7,7.5,8.1
883,Bánh Tráng Nướng C002 - Đường 3 Tháng 2,/ho-chi-minh/banh-trang-nuong-c002-duong-3-thang-2,7.384,7.3,7.1,7.4,7.5,7.5
884,Lẩu Nấm Oiisi - Vincom Lê Văn Việt,/ho-chi-minh/lau-nam-oiisi-vincom-le-van-viet,8.8,10.0,8.0,9.0,9.0,8.0
885,Sushi Uraetei - Crescent Mall,/ho-chi-minh/sushi-uraetei-crescent-mall,7.258,7.3,7.2,7.5,6.7,7.6
886,B3 Steakhouse & Craft Beer,/ho-chi-minh/b3-steakhouse-craft-beer,8.248,8.2,7.6,8.8,8.3,8.3
887,Amun Garden Restaurant & Lounge,/ho-chi-minh/amun-garden-restaurant-lounge,8.44,8.2,8.1,8.6,8.5,8.8
888,Mama BBQ - Buffet Nướng & Lẩu,/ho-chi-minh/mama-bbq-buffet-nuong-lau,2.5,2.7,2.4,2.4,2.4,2.6
889,Nắng Restaurant & Cafe,/ho-chi-minh/nang-restaurant-cafe,9.25,8.8,9.0,9.5,9.8,9.3
890,Lẩu Hoàng Yến - AEON Mall Tân Phú,/ho-chi-minh/lau-hoang-yen-aeon-mall-tan-phu,6.268,5.7,6.0,6.3,6.7,6.7
891,Thai Blah Blah - Chuyên Các Món Thái - Nguyễn Hữu Cảnh,/ho-chi-minh/thai-blah-blah-chuyen-cac-mon-thai-nguyen-huu-canh,6.958,6.7,6.8,7.3,6.8,7.2
892,Nhà Hàng Tiệc Cưới Duyên Hải,/ho-chi-minh/nha-hang-tiec-cuoi-duyen-hai,6.15,5.8,6.3,6.5,6.8,5.5
893,Gà Rán Popeyes - Lê Đức Thọ,/ho-chi-minh/ga-ran-popeyes-le-duc-tho,6.524,6.6,6.3,6.6,6.2,7.0
894,Hakuun Sushi & Tea,/ho-chi-minh/hakuun-sushi-tea,8.102,8.1,7.8,8.1,8.3,8.3
895,Otoké Chicken - Gà Rán Hàn Quốc - Phan Xích Long,/ho-chi-minh/otoke-chicken-ga-ran-han-quoc-phan-xich-long,7.334,7.6,7.3,7.2,7.5,7.1
896,Hotpot Story - Crescent Mall,/ho-chi-minh/hotpot-story-crescent-mall,7.8,7.7,7.4,8.3,8.1,7.6
897,Thế Giới Steak - Nguyễn Công Trứ,/ho-chi-minh/the-gioi-steak-nguyen-cong-tru,6.688,6.4,6.9,6.9,6.7,6.5
898,Wrap&Roll - MPlaza Saigon,/ho-chi-minh/wrap-roll-mplaza-saigon,6.4,7.2,5.8,6.0,6.0,7.0
899,Cơm Chay Khai Ngộ,/ho-chi-minh/com-chay-khai-ngo,6.716,6.8,6.4,6.8,6.5,7.0
900,A1 Restaurant - Tân Bình,/ho-chi-minh/a1-restaurant-tan-binh,8.56,8.2,8.8,8.6,8.8,8.4
901,Luna Sushi,/ho-chi-minh/luna-sushi,7.708,7.2,8.1,8.1,8.1,7.1
902,Hẻm Spaghetti - Nguyễn Đình Chiểu,/ho-chi-minh/hem-spaghetti-nguyen-dinh-chieu,7.182,7.1,6.9,7.5,7.1,7.3
903,TukTuk Thai Bistro - Hoa Mai,/ho-chi-minh/tuktuk-thai-bistro-hoa-mai,7.336,7.7,6.3,7.8,7.2,7.8
904,Gánh - Đặc Sản Nha Trang - Phú Mỹ Hưng,/ho-chi-minh/nem-nuong-ganh-dac-san-nha-trang-nguyen-duc-canh,5.768,6.7,5.4,5.7,5.4,5.7
905,Daiichi - Ramen & Curry - Thái Văn Lung,/ho-chi-minh/daiichi-ramen-curry-thai-van-lung,8.478,7.8,8.6,9.1,8.6,8.3
906,Kichi Kichi Lẩu Băng Chuyền - Phan Xích Long,/ho-chi-minh/kichi-kichi-lau-bang-chuyen-phan-xich-long,7.036,7.5,6.7,7.1,6.9,7.1
907,Texas Chicken - Hoàng Văn Thụ,/ho-chi-minh/texas-chicken-hoang-van-thu,6.146,6.4,6.2,6.3,5.7,6.3
908,Món Huế - 7 Cao Thắng,/ho-chi-minh/mon-hue-cao-thang,6.658,7.3,6.3,6.4,6.3,7.0
909,Nhà Hàng 13 - Ẩm Thực Việt,/ho-chi-minh/nha-hang-13-mon-viet,6.616,6.5,6.3,6.9,6.1,7.2
910,Manwah Taiwanese Hotpot - Lotte Mart Gò Vấp,/ho-chi-minh/manwah-taiwanese-hotpot-lotte-mart-go-vap,10.0,10.0,10.0,10.0,10.0,10.0
